time,co,co2,hap_bat_v,p1,p2,sensor_id,topic,type
2017-05-15T09:26:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:25:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:24:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:23:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:22:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:21:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:20:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:19:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:18:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:17:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:16:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:15:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:14:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:13:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:12:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:11:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:10:45Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:09:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:08:41Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:07:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:06:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:05:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:04:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:03:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:02:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:01:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:00:45Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:59:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:58:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:57:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:56:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
